login,repos_url,starred_url
hupili,https://api.github.com/users/hupili/repos,https://api.github.com/users/hupili/starred{/owner}{/repo}
CathyChang1996,https://api.github.com/users/CathyChang1996/repos,https://api.github.com/users/CathyChang1996/starred{/owner}{/repo}
xzzhang2,https://api.github.com/users/xzzhang2/repos,https://api.github.com/users/xzzhang2/starred{/owner}{/repo}
SerenaQYHuang,https://api.github.com/users/SerenaQYHuang/repos,https://api.github.com/users/SerenaQYHuang/starred{/owner}{/repo}
Catmint1215,https://api.github.com/users/Catmint1215/repos,https://api.github.com/users/Catmint1215/starred{/owner}{/repo}
ChicoXYC,https://api.github.com/users/ChicoXYC/repos,https://api.github.com/users/ChicoXYC/starred{/owner}{/repo}
18426425,https://api.github.com/users/18426425/repos,https://api.github.com/users/18426425/starred{/owner}{/repo}
ConnorLi96,https://api.github.com/users/ConnorLi96/repos,https://api.github.com/users/ConnorLi96/starred{/owner}{/repo}
CelineTsang,https://api.github.com/users/CelineTsang/repos,https://api.github.com/users/CelineTsang/starred{/owner}{/repo}
Rita0719,https://api.github.com/users/Rita0719/repos,https://api.github.com/users/Rita0719/starred{/owner}{/repo}
yangshiyu0809,https://api.github.com/users/yangshiyu0809/repos,https://api.github.com/users/yangshiyu0809/starred{/owner}{/repo}
huangzhuolin,https://api.github.com/users/huangzhuolin/repos,https://api.github.com/users/huangzhuolin/starred{/owner}{/repo}
trista520,https://api.github.com/users/trista520/repos,https://api.github.com/users/trista520/starred{/owner}{/repo}
guminyi,https://api.github.com/users/guminyi/repos,https://api.github.com/users/guminyi/starred{/owner}{/repo}
Zmh951010,https://api.github.com/users/Zmh951010/repos,https://api.github.com/users/Zmh951010/starred{/owner}{/repo}
DaisyZhongDai,https://api.github.com/users/DaisyZhongDai/repos,https://api.github.com/users/DaisyZhongDai/starred{/owner}{/repo}
zhangjingwei0512,https://api.github.com/users/zhangjingwei0512/repos,https://api.github.com/users/zhangjingwei0512/starred{/owner}{/repo}
ZHANGboh,https://api.github.com/users/ZHANGboh/repos,https://api.github.com/users/ZHANGboh/starred{/owner}{/repo}
PepperCai,https://api.github.com/users/PepperCai/repos,https://api.github.com/users/PepperCai/starred{/owner}{/repo}
Lsn-cecilia,https://api.github.com/users/Lsn-cecilia/repos,https://api.github.com/users/Lsn-cecilia/starred{/owner}{/repo}
Celia-Xiang,https://api.github.com/users/Celia-Xiang/repos,https://api.github.com/users/Celia-Xiang/starred{/owner}{/repo}
kaiwenxu94,https://api.github.com/users/kaiwenxu94/repos,https://api.github.com/users/kaiwenxu94/starred{/owner}{/repo}
IrinaLEE,https://api.github.com/users/IrinaLEE/repos,https://api.github.com/users/IrinaLEE/starred{/owner}{/repo}
iiiJenny,https://api.github.com/users/iiiJenny/repos,https://api.github.com/users/iiiJenny/starred{/owner}{/repo}
Fiiiiiiish,https://api.github.com/users/Fiiiiiiish/repos,https://api.github.com/users/Fiiiiiiish/starred{/owner}{/repo}
yaonuan1995,https://api.github.com/users/yaonuan1995/repos,https://api.github.com/users/yaonuan1995/starred{/owner}{/repo}
donglinxu2,https://api.github.com/users/donglinxu2/repos,https://api.github.com/users/donglinxu2/starred{/owner}{/repo}
thatberham31,https://api.github.com/users/thatberham31/repos,https://api.github.com/users/thatberham31/starred{/owner}{/repo}
efncij,https://api.github.com/users/efncij/repos,https://api.github.com/users/efncij/starred{/owner}{/repo}
zhuang27149,https://api.github.com/users/zhuang27149/repos,https://api.github.com/users/zhuang27149/starred{/owner}{/repo}
